PROGRAMA	NOMBRE	FECHA	TORNEO	HORA	COD	MINIMO	LOCAL	L	E	V	VISITA	LoE	LoV	EoV	1TL	1TE	1TV	2TL	2TE	2TV	L/L	E/L	V/L	L/E	E/E	V/E	L/V	E/V	V/V	-1.5	+1.5	-2.5	+2.5	-3.5	+3.5	0-1	2-3	4+	A	NA	I	P	FLAG	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	392	1	UTC	2.35	3.10	2.45	ALIANZA ATLETICO	1.34	1.20	1.37	3.10	2.05	3.20	2.70	2.25	2.80	4.10	6.25	28.00	15.00	5.00	15.00	28.00	6.25	4.25	3.40	1.22	1.70	1.80	1.25	3.20	3.40	1.75	3.20	1.62	1.88			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	393	1	ALIANZA LIMA	1.90	3.10	3.30	ALIANZA UNIVERSIDAD	1.18	1.21	1.60	2.60	2.02	4.10	2.25	2.20	3.60	3.30	5.00	25.00	15.00	4.90	15.00	30.00	8.00	6.00	3.00	1.28	1.60	1.90	1.20	3.60	3.00	1.75	3.60	1.72	1.78			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	394	1	UNIVERSITARIO	2.30	3.00	2.60	CARLOS MANNUCCI	1.30	1.22	1.39	3.00	2.08	3.30	2.60	2.25	2.85	4.10	6.00	25.00	14.00	4.75	15.00	30.00	6.50	4.60	3.75	1.18	1.85	1.65	1.32	2.80	3.75	1.80	2.80	1.50	2.05			pe.png	
2174	MARTES 25 DE MAYO - PROGRAMA 2174	25/05/2021	SRBC	12:00	1663	1	ESTRELLA ROJA	2.18	3.00	2.95	PARTIZAN BELGRADE	1.26	1.25	1.49	2.85	1.92	3.60	2.60	2.18	3.25	3.60	5.25	25.00	15.00	4.40	15.00	28.00	6.75	5.00	2.85	1.25	1.55	1.95	1.15	3.50	2.85	1.78	3.50	1.72	1.78			europeanunion.png	
2175	MIERCOLES 26 DE MAYO - PROGRAMA 2175	26/05/2021	LDE	14:00	280	1	VILLARREAL	4.60	3.35	1.75	MANCHESTER UTD	1.94	1.27	1.15	5.10	2.00	2.30	4.75	2.30	2.05	8.00	9.75	40.00	16.00	4.60	15.00	23.00	4.25	2.70	3.00	1.22	1.70	2.02	1.18	3.30	3.00	1.85	3.30	1.82	1.68			eul.png	
2178	SABADO 29 DE MAYO - PROGRAMA 2178	29/05/2021	CEU	14:00	200	1	MANCHESTER CITY	1.93	3.25	3.95	CHELSEA	1.21	1.30	1.78	2.45	1.98	4.40	2.25	2.30	4.10	3.05	4.75	23.00	15.00	4.90	16.00	35.00	8.75	6.75	3.00	1.28	1.60	2.20	1.20	3.60	3.00	1.75	3.60	1.90	1.80			cha.png	
2178	DOMINGO 30 DE MAYO - PROGRAMA 2178	30/05/2021	SUEC	07:30	1664	1	HAMMARBY	2.25	3.25	2.65	HACKEN	1.33	1.22	1.46	2.80	2.10	3.20	2.55	2.40	2.95	3.60	5.50	25.00	14.00	5.00	14.00	28.00	6.50	4.50	4.00	1.10	1.95	1.55	1.32	2.50	4.00	1.80	2.50	1.45	2.15			europeanunion.png	
2178	SABADO 29 DE MAYO - PROGRAMA 2178	29/05/2021	CEU	14:00	200	1	MANCHESTER CITY	1.93	3.25	3.95	CHELSEA	1.21	1.30	1.78	2.45	1.98	4.40	2.25	2.30	4.10	3.05	4.75	23.00	15.00	4.90	16.00	35.00	8.75	6.75	3.00	1.28	1.60	2.20	1.20	3.60	3.00	1.75	3.60	1.90	1.80			cha.png	
2178	DOMINGO 30 DE MAYO - PROGRAMA 2178	30/05/2021	SUEC	07:30	1664	1	HAMMARBY	2.25	3.25	2.65	HACKEN	1.33	1.22	1.46	2.80	2.10	3.20	2.55	2.40	2.95	3.60	5.50	25.00	14.00	5.00	14.00	28.00	6.50	4.50	4.00	1.10	1.95	1.55	1.32	2.50	4.00	1.80	2.50	1.45	2.15			europeanunion.png	
2183	JUEVES 03 DE JUNIO - PROGRAMA 2183	03/06/2021	ELI	14:00	262	1	ARGENTINA	1.58	3.35	4.50	CHILE	1.07	1.17	1.92	2.18	2.08	5.10	1.98	2.40	4.75	2.50	4.25	23.00	15.00	5.25	16.00	40.00	10.50	8.00	3.10	1.20	1.65	1.85	1.18	3.30	3.10	1.80	3.30	1.82	1.68			eli.png	
2183	JUEVES 03 DE JUNIO - PROGRAMA 2183	03/06/2021	ELI	14:00	263	1	URUGUAY	1.65	3.30	4.10	PARAGUAY	1.10	1.18	1.83	2.30	2.05	4.90	2.05	2.35	4.60	2.60	4.40	23.00	15.00	5.00	16.00	40.00	9.75	7.50	3.00	1.22	1.60	1.90	1.15	3.50	3.00	1.78	3.50	1.85	1.65			eli.png	
2183	JUEVES 03 DE JUNIO - PROGRAMA 2183	03/06/2021	ELI	14:00	264	1	BRASIL	1.25	4.50	7.75	ECUADOR	-	1.08	2.85	1.75	2.35	7.25	1.58	2.80	7.00	1.85	3.90	21.00	18.00	6.75	20.00	50.00	17.00	13.00	3.90	1.12	1.90	1.60	1.30	2.60	3.90	1.85	2.60	1.90	1.60			eli.png	
2183	JUEVES 03 DE JUNIO - PROGRAMA 2183	03/06/2021	ELI	14:00	265	1	BOLIVIA	1.85	3.05	3.50	VENEZUELA	1.15	1.21	1.63	2.45	1.98	4.60	2.20	2.25	4.20	2.90	4.50	23.00	15.00	4.60	15.00	32.00	8.75	6.75	2.85	1.25	1.52	2.00	1.12	3.90	2.85	1.75	3.90	1.85	1.65			eli.png	
2183	JUEVES 03 DE JUNIO - PROGRAMA 2183	03/06/2021	ELI	21:00	266	1	PERÚ	2.70	2.95	2.25	COLOMBIA	1.41	1.23	1.28	3.60	1.95	3.00	3.25	2.25	2.70	4.75	6.50	28.00	14.00	4.50	14.00	25.00	5.50	3.75	2.85	1.25	1.52	2.00	1.12	3.90	2.85	1.75	3.90	1.78	1.72			eli.png	
2188	MARTES 08 DE JUNIO - PROGRAMA 2188	08/06/2021	ELI	14:00	267	1	ECUADOR	1.47	4.00	4.50	PERÚ	1.07	1.11	2.12	2.02	2.30	4.90	1.85	2.70	4.60	2.25	4.40	20.00	15.00	6.75	16.00	40.00	11.00	7.75	3.90	1.12	1.90	1.60	1.28	2.70	3.90	1.80	2.70	1.68	1.82			eli.png	
2191	VIERNES 11 DE JUNIO - PROGRAMA 2191	11/06/2021	EUR	14:00	331	1	TURQUIA	6.75	4.00	1.47	ITALIA	2.51	1.21	1.07	6.75	2.08	1.92	6.25	2.50	1.78	12.00	15.00	40.00	18.00	5.75	17.00	23.00	4.00	2.25	3.00	1.28	1.70	2.02	1.20	3.60	3.00	1.75	3.60	2.20	1.60			europeanunion.png	
2192	SABADO 12 DE JUNIO - PROGRAMA 2192	12/06/2021	EUR	08:00	332	1	GALES	3.35	3.15	2.18	SUIZA	1.62	1.32	1.29	4.00	1.85	2.75	3.75	2.18	2.55	6.00	7.50	30.00	16.00	4.40	16.00	25.00	5.25	3.60	2.70	1.35	1.55	2.30	1.12	4.50	2.70	1.70	4.50	2.00	1.72			europeanunion.png	
2192	SABADO 12 DE JUNIO - PROGRAMA 2192	12/06/2021	EUR	11:00	333	1	DINAMARCA	1.50	3.90	6.25	FINLANDIA	1.08	1.21	2.40	1.98	2.08	6.00	1.85	2.50	5.75	2.35	4.10	23.00	17.00	5.50	18.00	40.00	13.00	10.50	3.20	1.25	1.75	1.95	1.22	3.40	3.20	1.75	3.40	2.02	1.70			europeanunion.png	
2192	SABADO 12 DE JUNIO - PROGRAMA 2192	12/06/2021	EUR	14:00	334	1	BELGICA	1.63	3.70	5.00	RUSIA	1.13	1.23	2.13	2.10	2.08	5.10	1.95	2.50	4.90	2.50	4.40	23.00	16.00	5.50	17.00	40.00	11.00	8.50	3.40	1.22	1.80	1.90	1.25	3.20	3.40	1.75	3.20	1.90	1.80			europeanunion.png	
2192	SABADO 12 DE JUNIO - PROGRAMA 2192	12/06/2021	CAM	17:00	381	1	PARAGUAY	1.55	3.50	5.50	BOLIVIA	1.07	1.21	2.14	2.15	2.08	6.00	1.80	2.30	5.25	2.50	4.25	23.00	17.00	5.00	18.00	40.00	12.00	10.00	3.00	1.28	1.70	1.88	1.20	3.60	3.00	1.75	3.60	1.90	1.60			europeanunion.png	
2193	DOMINGO 13 DE JUNIO - PROGRAMA 2193	13/06/2021	EUR	08:00	335	1	INGLATERRA	1.83	3.40	4.20	CROACIA	1.19	1.27	1.88	2.35	1.98	4.60	2.18	2.35	4.30	2.90	4.60	23.00	15.00	4.90	16.00	35.00	9.25	7.25	3.20	1.25	1.70	2.02	1.20	3.60	3.20	1.70	3.60	1.87	1.83			europeanunion.png	
2193	DOMINGO 13 DE JUNIO - PROGRAMA 2193	13/06/2021	EUR	11:00	336	1	AUSTRIA	1.53	3.80	6.25	MACEDONIA DEL NORTE	1.09	1.23	2.36	1.98	2.02	6.75	1.82	2.40	6.25	2.35	4.00	23.00	17.00	5.25	18.00	40.00	14.00	11.50	2.80	1.32	1.65	2.10	1.15	4.10	2.80	1.72	4.10	2.30	1.55			europeanunion.png	
2193	DOMINGO 13 DE JUNIO - PROGRAMA 2193	13/06/2021	EUR	14:00	337	1	HOLANDA	1.57	3.80	5.50	UCRANIA	1.11	1.22	2.25	2.05	2.08	5.60	1.88	2.45	5.40	2.40	4.25	23.00	16.00	5.50	18.00	40.00	12.00	9.75	3.20	1.25	1.75	1.95	1.22	3.40	3.20	1.75	3.40	2.02	1.70			europeanunion.png	
2193	DOMINGO 13 DE JUNIO - PROGRAMA 2193	13/06/2021	CAM	16:00	379	1	ARGENTINA	1.60	3.50	5.00	CHILE	1.10	1.21	2.06	2.18	2.08	5.50	1.85	2.30	4.75	2.55	4.40	23.00	16.00	5.25	17.00	40.00	11.00	9.00	3.20	1.25	1.75	1.82	1.22	3.40	3.20	1.75	3.40	1.82	1.68			europeanunion.png	
2194	LUNES 14 DE JUNIO - PROGRAMA 2194	14/06/2021	EUR	08:00	338	1	ESCOCIA	3.05	3.05	2.38	REPUBLICA CHECA	1.53	1.34	1.34	3.70	1.85	3.00	3.45	2.15	2.75	5.25	7.00	30.00	15.00	4.10	15.00	25.00	5.50	4.10	2.70	1.35	1.55	2.30	1.15	4.10	2.70	1.78	4.10	1.93	1.77			europeanunion.png	
2194	LUNES 14 DE JUNIO - PROGRAMA 2194	14/06/2021	EUR	11:00	339	1	POLONIA	1.78	3.40	4.40	ESLOVAQUIA	1.17	1.27	1.92	2.25	1.95	5.10	2.08	2.30	4.80	2.75	4.40	23.00	16.00	4.90	17.00	40.00	10.50	8.25	2.80	1.32	1.62	2.15	1.15	4.10	2.80	1.72	4.10	2.05	1.68			europeanunion.png	
2194	LUNES 14 DE JUNIO - PROGRAMA 2194	14/06/2021	EUR	14:00	340	1	ESPANA	1.40	4.40	7.25	SUECIA	1.06	1.17	2.74	1.78	2.30	6.75	1.65	2.75	6.50	2.05	4.10	21.00	17.00	7.00	19.00	40.00	16.00	12.50	3.75	1.18	1.93	1.77	1.30	2.90	3.75	1.75	2.90	2.00	1.72			europeanunion.png	
2194	LUNES 14 DE JUNIO - PROGRAMA 2194	14/06/2021	CAM	18:00	383	1	BRASIL	1.20	5.50	9.50	VENEZUELA	-	1.07	3.48	1.63	2.55	8.50	1.42	2.90	7.75	1.75	4.00	21.00	20.00	8.75	22.00	55.00	22.00	17.00	3.75	1.18	1.93	1.65	1.32	2.80	3.75	1.80	2.80	2.15	1.45			europeanunion.png	
2194	LUNES 14 DE JUNIO - PROGRAMA 2194	14/06/2021	CAM	21:00	382	1	COLOMBIA	1.40	4.00	6.75	ECUADOR	1.04	1.16	2.51	1.95	2.18	7.00	1.65	2.40	6.25	2.20	4.10	21.00	17.00	6.00	19.00	40.00	15.00	12.00	3.00	1.28	1.65	1.93	1.20	3.60	3.00	1.75	3.60	2.05	1.50			europeanunion.png	
2195	MARTES 15 DE JUNIO - PROGRAMA 2195	15/06/2021	EUR	11:00	341	1	HUNGRIA	5.00	3.65	1.65	PORTUGAL	2.11	1.24	1.14	5.50	2.02	2.12	5.25	2.40	1.95	9.50	11.50	40.00	18.00	4.90	17.00	23.00	4.25	2.55	3.20	1.25	1.80	1.90	1.25	3.20	3.20	1.80	3.20	1.90	1.80			europeanunion.png	
2195	MARTES 15 DE JUNIO - PROGRAMA 2195	15/06/2021	EUR	14:00	342	1	FRANCIA	2.75	3.20	2.50	ALEMANIA	1.48	1.31	1.40	3.35	1.90	3.05	3.15	2.25	2.85	4.75	6.50	30.00	15.00	4.40	15.00	25.00	5.75	4.25	3.00	1.28	1.68	2.05	1.20	3.60	3.00	1.75	3.60	1.80	1.90			europeanunion.png	
2196	MIERCOLES 16 DE JUNIO - PROGRAMA 2196	16/06/2021	EUR	08:00	343	1	FINLANDIA	5.30	3.65	1.60	RUSIA	2.16	1.23	1.11	5.75	1.98	2.10	5.50	2.35	1.95	9.75	12.00	40.00	18.00	5.00	17.00	23.00	4.25	2.50	2.90	1.30	1.65	2.10	1.18	3.75	2.90	1.75	3.75	2.10	1.65			europeanunion.png	
2196	MIERCOLES 16 DE JUNIO - PROGRAMA 2196	16/06/2021	EUR	11:00	344	1	TURQUIA	2.22	3.05	3.30	GALES	1.28	1.33	1.59	2.90	1.90	3.60	2.65	2.20	3.40	3.90	5.50	25.00	15.00	4.40	16.00	30.00	7.00	5.25	2.90	1.30	1.60	2.20	1.18	3.75	2.90	1.75	3.75	1.85	1.85			europeanunion.png	
2196	MIERCOLES 16 DE JUNIO - PROGRAMA 2196	16/06/2021	EUR	14:00	345	1	ITALIA	1.68	3.40	5.10	SUIZA	1.12	1.26	2.04	2.35	1.95	4.80	2.15	2.30	4.50	2.90	4.60	23.00	16.00	4.75	16.00	35.00	9.75	7.75	2.90	1.30	1.65	2.10	1.18	3.75	2.90	1.75	3.75	1.95	1.75			europeanunion.png	
2197	JUEVES 17 DE JUNIO - PROGRAMA 2197	17/06/2021	EUR	08:00	346	1	UCRANIA	1.58	3.60	5.75	MACEDONIA DEL NORTE	1.10	1.24	2.21	2.10	1.98	5.75	1.95	2.35	5.50	2.50	4.25	23.00	17.00	5.25	18.00	40.00	12.00	9.75	2.80	1.32	1.60	2.20	1.15	4.10	2.80	1.72	4.10	2.20	1.60			europeanunion.png	
2197	JUEVES 17 DE JUNIO - PROGRAMA 2197	17/06/2021	EUR	11:00	347	1	DINAMARCA	3.90	3.35	1.90	BELGICA	1.80	1.28	1.21	4.25	2.02	2.40	4.00	2.40	2.20	6.75	8.75	35.00	16.00	4.90	15.00	23.00	4.90	3.05	3.60	1.20	1.85	1.85	1.28	3.00	3.60	1.75	3.00	1.72	2.00			europeanunion.png	
2197	JUEVES 17 DE JUNIO - PROGRAMA 2197	17/06/2021	EUR	14:00	348	1	HOLANDA	1.48	4.10	6.25	AUSTRIA	1.09	1.20	2.48	1.90	2.20	5.90	1.75	2.65	5.75	2.25	4.25	21.00	16.00	6.25	18.00	40.00	14.00	10.50	3.75	1.18	1.93	1.77	1.30	2.90	3.75	1.75	2.90	1.90	1.80			europeanunion.png	
2198	VIERNES 18 DE JUNIO - PROGRAMA 2198	18/06/2021	EUR	08:00	349	1	SUECIA	1.75	3.35	4.80	ESLOVAQUIA	1.15	1.28	1.97	2.30	1.92	5.10	2.12	2.30	4.75	2.85	4.50	23.00	16.00	4.75	16.00	40.00	10.00	8.00	2.80	1.32	1.60	2.20	1.15	4.10	2.80	1.72	4.10	2.05	1.68			europeanunion.png	
2198	VIERNES 18 DE JUNIO - PROGRAMA 2198	18/06/2021	EUR	11:00	350	1	CROACIA	2.00	3.20	3.75	REPUBLICA CHECA	1.23	1.30	1.73	2.55	1.88	4.40	2.35	2.20	4.10	3.30	4.90	25.00	15.00	4.40	16.00	30.00	8.50	6.75	2.80	1.32	1.57	2.25	1.15	4.10	2.80	1.72	4.10	1.95	1.75			europeanunion.png	
2198	VIERNES 18 DE JUNIO - PROGRAMA 2198	18/06/2021	EUR	14:00	351	1	INGLATERRA	1.33	4.70	8.25	ESCOCIA	1.04	1.15	2.99	1.75	2.30	7.00	1.63	2.80	6.75	2.00	4.10	21.00	18.00	7.00	19.00	50.00	17.00	13.00	3.75	1.18	1.95	1.75	1.32	2.80	3.75	1.80	2.80	2.02	1.70			europeanunion.png	
2199	SABADO 19 DE JUNIO - PROGRAMA 2199	19/06/2021	EUR	08:00	352	1	HUNGRIA	6.25	4.20	1.47	FRANCIA	2.51	1.19	1.09	6.00	2.20	1.88	5.90	2.65	1.75	11.50	14.00	40.00	18.00	6.00	17.00	22.00	4.25	2.25	4.10	1.15	1.95	1.75	1.35	2.70	4.10	1.78	2.70	1.83	1.87			europeanunion.png	
2199	SABADO 19 DE JUNIO - PROGRAMA 2199	19/06/2021	EUR	11:00	353	1	PORTUGAL	3.30	3.20	2.15	ALEMANIA	1.62	1.30	1.29	3.80	1.95	2.70	3.60	2.25	2.50	5.75	7.50	30.00	16.00	4.60	15.00	25.00	5.25	3.50	3.00	1.28	1.68	2.05	1.20	3.60	3.00	1.75	3.60	1.83	1.87			europeanunion.png	
2199	SABADO 19 DE JUNIO - PROGRAMA 2199	19/06/2021	EUR	14:00	354	1	ESPANA	1.48	4.10	6.00	POLONIA	1.09	1.19	2.44	1.95	2.15	5.90	1.80	2.55	5.75	2.30	4.10	23.00	17.00	5.75	18.00	40.00	13.00	11.00	3.75	1.18	1.95	1.75	1.32	2.80	3.75	1.80	2.80	1.85	1.85			europeanunion.png	
2200	DOMINGO 20 DE JUNIO - PROGRAMA 2200	20/06/2021	EUR	11:00	355	1	ITALIA	1.38	4.20	8.00	GALES	1.04	1.18	2.75	1.88	2.08	7.25	1.72	2.50	7.00	2.20	4.00	21.00	18.00	5.50	19.00	40.00	16.00	14.00	3.20	1.25	1.75	1.95	1.22	3.40	3.20	1.75	3.40	2.15	1.62			europeanunion.png	
2200	DOMINGO 20 DE JUNIO - PROGRAMA 2200	20/06/2021	EUR	11:00	356	1	SUIZA	2.50	3.25	2.70	TURQUIA	1.41	1.30	1.47	3.00	1.95	3.25	2.80	2.30	3.05	4.10	6.00	25.00	15.00	4.75	15.00	30.00	6.50	4.50	3.00	1.28	1.68	2.05	1.20	3.60	3.00	1.75	3.60	1.80	1.90			europeanunion.png	
2201	LUNES 21 DE JUNIO - PROGRAMA 2201	21/06/2021	EUR	11:00	357	1	MACEDONIA DEL NORTE	12.50	5.75	1.21	HOLANDA	3.94	1.10	-	10.00	2.50	1.55	9.75	3.10	1.43	22.00	28.00	55.00	25.00	8.50	22.00	21.00	3.90	1.68	4.10	1.15	2.10	1.65	1.35	2.70	4.10	1.78	2.70	2.35	1.52			europeanunion.png	
2201	LUNES 21 DE JUNIO - PROGRAMA 2201	21/06/2021	EUR	11:00	358	1	UCRANIA	2.45	3.15	2.85	AUSTRIA	1.38	1.32	1.50	2.95	1.92	3.45	2.75	2.25	3.25	4.00	5.75	25.00	15.00	4.50	15.00	30.00	6.75	4.90	3.00	1.28	1.68	2.05	1.18	3.75	3.00	1.72	3.75	1.83	1.87			europeanunion.png	
2201	LUNES 21 DE JUNIO - PROGRAMA 2201	21/06/2021	EUR	14:00	359	1	FINLANDIA	9.00	5.20	1.29	BELGICA	3.30	1.13	1.03	8.00	2.50	1.60	8.00	3.05	1.50	17.00	22.00	55.00	22.00	8.00	20.00	21.00	4.00	1.78	4.50	1.12	2.20	1.60	1.42	2.45	4.50	1.80	2.45	2.05	1.68			europeanunion.png	
2201	LUNES 21 DE JUNIO - PROGRAMA 2201	21/06/2021	EUR	14:00	360	1	RUSIA	3.85	3.35	1.92	DINAMARCA	1.79	1.28	1.22	4.30	1.90	2.55	4.00	2.25	2.35	6.50	8.25	30.00	16.00	4.50	16.00	25.00	4.90	3.30	2.80	1.32	1.62	2.15	1.15	4.10	2.80	1.72	4.10	1.95	1.75			europeanunion.png	
2202	MARTES 22 DE JUNIO - PROGRAMA 2202	22/06/2021	EUR	14:00	361	1	CROACIA	2.00	3.30	3.65	ESCOCIA	1.25	1.29	1.73	2.55	1.92	4.20	2.35	2.25	3.90	3.25	5.00	25.00	15.00	4.75	16.00	30.00	8.25	6.25	2.80	1.32	1.60	2.20	1.15	4.10	2.80	1.72	4.10	1.95	1.75			europeanunion.png	
2202	MARTES 22 DE JUNIO - PROGRAMA 2202	22/06/2021	EUR	14:00	362	1	REPUBLICA CHECA	7.00	4.60	1.38	INGLATERRA	2.78	1.15	1.06	6.00	2.40	1.75	6.00	2.95	1.63	11.50	16.00	40.00	18.00	7.50	17.00	20.00	4.25	2.00	4.50	1.12	2.30	1.55	1.45	2.35	4.50	1.90	2.35	1.77	1.93			europeanunion.png	
2203	MIERCOLES 23 DE JUNIO - PROGRAMA 2203	23/06/2021	EUR	11:00	363	1	ESLOVAQUIA	10.50	5.60	1.25	ESPANA	3.65	1.12	1.02	8.25	2.50	1.60	8.00	3.05	1.50	17.00	22.00	55.00	22.00	8.00	20.00	21.00	4.00	1.78	4.50	1.12	2.25	1.57	1.45	2.35	4.50	1.90	2.35	2.00	1.72			europeanunion.png	
2203	MIERCOLES 23 DE JUNIO - PROGRAMA 2203	23/06/2021	EUR	11:00	364	1	SUECIA	2.70	3.15	2.60	POLONIA	1.45	1.32	1.42	3.20	1.95	3.10	3.00	2.25	2.90	4.40	6.25	28.00	15.00	4.75	15.00	28.00	6.00	4.25	3.00	1.28	1.65	2.10	1.20	3.60	3.00	1.75	3.60	1.83	1.87			europeanunion.png	
2203	MIERCOLES 23 DE JUNIO - PROGRAMA 2203	23/06/2021	EUR	14:00	365	1	ALEMANIA	1.30	5.30	8.25	HUNGRIA	1.04	1.12	3.23	1.70	2.50	6.25	1.60	3.05	6.00	1.35	4.25	20.00	18.00	8.00	20.00	50.00	17.00	12.00	5.25	1.09	2.55	1.45	1.55	2.15	5.25	1.90	2.15	1.68	2.05			europeanunion.png	
2203	MIERCOLES 23 DE JUNIO - PROGRAMA 2203	23/06/2021	EUR	14:00	366	1	PORTUGAL	3.40	3.15	2.15	FRANCIA	1.64	1.32	1.28	3.90	1.88	2.75	3.70	2.20	2.50	5.75	7.50	30.00	16.00	4.50	16.00	25.00	5.25	3.60	2.80	1.32	1.60	2.20	1.15	4.10	2.80	1.72	4.10	1.93	1.77			europeanunion.png	
